FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,Cumul_Area_ha,Fract_of_total,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
148417,BC,2021-N62485, ,49.2385,-118.3821,2021,8,7,2021-08-07 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-N62485, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148418,BC,2021-K42690, ,50.9689,-118.8171,2021,8,3,2021-08-03 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K42690, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148419,BC,2021-V82761, ,49.4999,-125.5263,2021,9,2,2021-09-02 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-V82761, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148421,BC,2021-K72570, ,50.1446,-121.5715,2021,8,12,2021-08-12 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K72570, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148424,BC,2021-G52435, ,54.3552,-124.3603,2021,8,5,2021-08-05 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-G52435, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148425,BC,2021-N12888, ,50.1261,-114.7891,2021,10,10,2021-10-10 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-N12888, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148426,BC,2021-G72585, ,55.9652,-120.6033,2021,8,12,2021-08-12 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-G72585, , ,2022-04-11 00:00,BC,9,9,Boreal PLain,Plaines bornales
148429,BC,2021-C42810, ,51.1457,-121.5022,2021,9,8,2021-09-08 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-C42810, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148432,BC,2021-C20923, ,52.0509,-121.9621,2021,6,26,2021-06-26 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-C20923, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148435,BC,2021-N51390, ,50.1408,-117.6812,2021,6,29,2021-06-29 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N51390, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148436,BC,2021-N41387, ,50.9677,-118.1175,2021,7,4,2021-07-04 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N41387, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148440,BC,2021-C41994, ,51.7118,-120.9016,2021,7,16,2021-07-16 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-C41994, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148443,BC,2021-C22013, ,52.1199,-122.0051,2021,7,17,2021-07-17 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-C22013, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148445,BC,2021-K22036, ,50.8993,-119.687,2021,7,18,2021-07-18 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K22036, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148451,BC,2021-N51735, ,49.4123,-118.1908,2021,7,8,2021-07-08 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N51735, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148456,BC,2021-V82221, ,49.9696,-125.2524,2021,7,28,2021-07-28 00:00,,,2020-2029,0.009,,,U, ,Fire, ,BC-2021-2021-V82221, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148459,BC,2021-N62271, ,49.0155,-118.8001,2021,7,31,2021-07-31 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-N62271, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148460,BC,2021-K40759, ,50.0768,-119.4233,2021,6,9,2021-06-09 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K40759, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148461,BC,2021-K22715, ,51.5052,-119.2041,2021,8,22,2021-08-22 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K22715, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148464,BC,2021-N52501, ,49.1346,-117.5132,2021,8,8,2021-08-08 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N52501, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148467,BC,2021-K22544, ,51.401,-120.4304,2021,1,6,2021-01-06 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K22544, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148468,BC,2021-G62543, ,56.5293,-124.5975,2021,8,2,2021-08-02 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-G62543, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148471,BC,2021-K22718, ,51.6899,-120.1349,2021,8,24,2021-08-24 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K22718, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148472,BC,2021-K72719, ,50.6963,-122.8103,2021,8,24,2021-08-24 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K72719, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148473,BC,2021-N12803, ,49.5973,-115.8694,2021,9,6,2021-09-06 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-N12803, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148476,BC,2021-K62722, ,49.4316,-120.3685,2021,8,20,2021-08-20 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K62722, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148477,BC,2021-N42755, ,51.221,-116.9618,2021,8,31,2021-08-31 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N42755, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148481,BC,2021-V82832, ,50.0665,-125.6515,2021,9,14,2021-09-14 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-V82832, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148485,BC,2021-K41223, ,50.5432,-119.7235,2021,7,1,2021-07-01 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K41223, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148488,BC,2021-C12045, ,53.0098,-123.6443,2021,7,18,2021-07-18 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-C12045, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148493,BC,2021-V12081, ,49.047,-122.0015,2021,7,20,2021-07-20 00:00,,,2020-2029,0.009,,,U, ,Fire, ,BC-2021-2021-V12081, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148494,BC,2021-G62089, ,55.0194,-123.9522,2021,7,18,2021-07-18 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-G62089, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148499,BC,2021-V31718, ,50.0357,-123.12,2021,7,9,2021-07-09 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-V31718, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148500,BC,2021-K61717, ,49.456,-120.564,2021,7,10,2021-07-10 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K61717, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148504,BC,2021-R11736, ,54.7124,-125.5719,2021,7,10,2021-07-10 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-R11736, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148510,BC,2021-K61744, ,50.1203,-120.3413,2021,7,7,2021-07-07 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-K61744, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148512,BC,2021-C11746, ,52.9953,-123.5361,2021,7,10,2021-07-10 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-C11746, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148517,BC,2021-K22843, ,50.752,-119.9328,2021,9,17,2021-09-17 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K22843, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148518,BC,2021-N52520, ,49.1778,-117.2298,2021,8,8,2021-08-08 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N52520, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148521,BC,2021-C42908, ,51.3248,-122.1462,2021,10,21,2021-10-21 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-C42908, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148523,BC,2021-V92653, ,50.5012,-126.7559,2021,8,7,2021-08-07 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-V92653, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148524,BC,2021-K42853, ,50.6335,-119.2888,2021,9,22,2021-09-22 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-K42853, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148526,BC,2021-C12439, ,53.2566,-123.1133,2021,8,5,2021-08-05 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-C12439, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148528,BC,2021-G72670, ,56.114,-120.895,2021,8,5,2021-08-05 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-G72670, , ,2022-04-11 00:00,BC,9,9,Boreal PLain,Plaines bornales
148537,BC,2021-K52602, ,50.1114,-119.636,2021,8,12,2021-08-12 00:00,,,2020-2029,0.009,,,U, ,Fire, ,BC-2021-2021-K52602, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148539,BC,2021-V12655, ,49.8022,-121.6289,2021,8,17,2021-08-17 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-V12655, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148540,BC,2021-N22656, ,50.8305,-116.388,2021,7,15,2021-07-15 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N22656, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148542,BC,2021-N11859, ,49.3406,-115.472,2021,7,13,2021-07-13 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N11859, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148544,BC,2021-V91048, ,50.5947,-127.2353,2021,6,30,2021-06-30 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-V91048, , ,2022-04-11 00:00,BC,13,13,Pacific Maritime,Maritime du Pacifique
148549,BC,2021-N41278, ,51.2851,-116.8207,2021,7,2,2021-07-02 00:00,,,2020-2029,0.009,,,H, ,Fire, ,BC-2021-2021-N41278, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
148555,BC,2021-N11527, ,49.5973,-115.9272,2021,7,5,2021-07-05 00:00,,,2020-2029,0.009,,,L, ,Fire, ,BC-2021-2021-N11527, , ,2022-04-11 00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
