SPUID,EcoBoundaryName,AdminBoundaryName,TimeStep,Aboveground Very Fast DOM,Belowground Very Fast DOM,Aboveground Fast DOM,Belowground Fast DOM,Medium DOM,Aboveground Slow DOM,Belowground Slow DOM,Softwood Stem Snag,Softwood Branch Snag,Hardwood Stem Snag,Hardwood Branch Snag,Black Carbon,Peat,Softwood Merchantable,Softwood Foliage,Softwood Other,Softwood Submerchantable,Softwood Coarse Roots,Softwood Fine Roots,Hardwood Merchantable,Hardwood Foliage,Hardwood Other,Hardwood Submerchantable,Hardwood Coarse Roots,Hardwood Fine Roots
7,Atlantic Maritime,New Brunswick,13,7.171627477662235,1.1207709885738757,10.639969807882318,1.963185470461465,7.231240463750677,39.35069491667943,108.12851453781366,1.7407214347592173,0.5266430108441394,1.1221446532894106,0.44236364444821374,0,0,14.218195679540553,2.4383296125337717,8.382207777159381,0,4.766902256782526,0.7916961637897402,9.374594029840399,0.7819436004392865,7.150336904131699,0,5.257896108223618,0.88727229340641
7,Atlantic Maritime,New Brunswick,14,7.127666557575713,1.1206661980208346,10.619057771650489,1.9633255657896724,7.240355497845097,39.333391044354016,108.13379445418462,1.7166235453158216,0.5215572724641337,1.0986871847982387,0.4370957881800962,0,0,14.10239396845795,2.424051352082727,8.339703256987896,0,4.73155231164947,0.7887322685602687,9.250066471872067,0.7767394579257169,7.112572147326513,0,5.2211013597168145,0.8883821868526338
7,Atlantic Maritime,New Brunswick,15,7.088363812297858,1.120431802537002,10.61052515219651,1.9654213670883849,7.249630926278395,39.31415416874701,108.13849780169583,1.6919615063906723,0.5160857085097172,1.0742391882758857,0.43200478050444313,0,0,13.966876357819013,2.4118340966442022,8.278280707262951,0,4.688288248621411,0.7855633337036586,9.144643407979244,0.7730478865449644,7.088722454471258,0,5.1896757539744804,0.8894435655019582
7,Atlantic Maritime,New Brunswick,16,7.054344850534699,1.11896531205383,10.531755877225923,1.9537530319847622,7.2436322533996975,39.29198797374302,108.14275321411439,1.6673010306326799,0.5117628888640395,1.066769237787638,0.43216455628142053,0,0,13.79064064187743,2.391189907439292,8.222345512472264,0,4.636564377388665,0.7811622443591916,9.12882507181827,0.7759201186965488,7.125386994167342,0,5.196928091379358,0.8956957605648596
7,Atlantic Maritime,New Brunswick,17,7.031369581707446,1.118310868723645,10.47359147284013,1.946640368031141,7.247525025527603,39.26830946144923,108.14692617120942,1.63531693011314,0.5060166469327328,1.058815298027897,0.43238621415886974,0,0,13.601009077605484,2.3650703668350856,8.152016754489406,0,4.579475176987967,0.7747416746312072,9.119608265473392,0.7790466781085252,7.164326127594331,0,5.203315338087475,0.9003891475362699
7,Atlantic Maritime,New Brunswick,18,7.004508188536533,1.116898595928295,10.374472426863619,1.9283958666699903,7.2346268834171275,39.241823732722615,108.1504501625859,1.6122562013154955,0.5022422639109075,1.0524996951366425,0.4332903489550734,0,0,13.470397596119339,2.349016819634909,8.110886398471033,0,4.541453044157524,0.7710732214041598,9.125882820204147,0.7829501930814986,7.21073131368555,0,5.218712061463154,0.9057249950757276
7,Atlantic Maritime,New Brunswick,19,6.983300710462638,1.116316757968921,10.2885637921807,1.912573255496389,7.221042168364126,39.21329726445886,108.15375108240279,1.5912036389541637,0.4989694888533357,1.0437074924058523,0.43374018443828843,0,0,13.354501019771423,2.3382079108028178,8.073627863849659,0,4.508014139780291,0.768112249492248,9.123487565843599,0.7856998883771337,7.246999388254575,0,5.2290888959072115,0.9096011398649833
7,Atlantic Maritime,New Brunswick,20,6.96332816377008,1.1157337830678085,10.180447805295524,1.890677041344748,7.197797539179591,39.18229324142349,108.15647121232088,1.5744292136376066,0.4966826925295214,1.0368995697466126,0.43484742747310856,0,0,13.27187067600346,2.330015854173151,8.055187081742263,0,4.485265275123627,0.7666046963799297,9.140459660931326,0.7895617947954817,7.286949785937706,0,5.24680044289579,0.9140929719558024
7,Atlantic Maritime,New Brunswick,21,6.956230039236638,1.1164473414465164,10.125791851053584,1.8812234920336348,7.188778772187277,39.14923134424975,108.15902067278417,1.5490981299612596,0.4926293448868908,1.029167234477043,0.43578692332572516,0,0,13.15023773153309,2.3144202676972556,8.009970172436079,0,4.448860850508686,0.7625067322616494,9.15260677114423,0.7939588563994631,7.319808621199924,0,5.2576192714344545,0.9167891131630876
7,Atlantic Maritime,New Brunswick,22,6.952674444644967,1.1166932449212381,10.077540125415668,1.8731211411741029,7.177368911400927,39.11772143023181,108.16180625878783,1.522945999502098,0.48834423851855846,1.022912025912569,0.4376980267731161,0,0,13.023950277978326,2.2971615452523153,7.958835811836721,0,4.410148927060603,0.757999568715529,9.176576030335532,0.7977991393083623,7.358188180613722,0,5.272485097469196,0.9196785885283226
7,Atlantic Maritime,New Brunswick,23,6.949681484865588,1.1164790417430206,10.029587588641657,1.8651007203169745,7.164048486128195,39.08498392098716,108.1639849563879,1.4983034739555685,0.48444555246530685,1.0162100052597782,0.43905049449761285,0,0,12.903809965544044,2.2819599991336528,7.916659171783653,0,4.374688905236399,0.7540505523927213,9.204365641536555,0.8012657237936104,7.39556667354881,0,5.287673659778673,0.9221380245788406
7,Atlantic Maritime,New Brunswick,24,6.950806734033738,1.1162640024984236,9.998988799697257,1.8620214406937257,7.151760919453031,39.05204593749639,108.16581282161732,1.4711983711770258,0.48000022929886954,1.010055128015832,0.440430442340097,0,0,12.764125951067664,2.2633643720023597,7.861153240900389,0,4.331943558039422,0.7493355547079059,9.24128500360647,0.8047391459317028,7.429840149106859,0,5.302433926770979,0.9242538044775048
7,Atlantic Maritime,New Brunswick,25,6.952775559006703,1.1157061103234787,9.978207924243273,1.8615704653221452,7.14054298362309,39.01911517447311,108.16746636587924,1.4430676043127821,0.4753274919622224,1.0038758744144909,0.4417818741966491,0,0,12.621520349384884,2.244096909029249,7.800280497002025,0,4.28744695677262,0.74438251355212,9.27958107471257,0.8078035571207793,7.459193268549247,0,5.3154584140213945,0.9258912642005066
7,Atlantic Maritime,New Brunswick,26,6.951185611527558,1.114558020421358,9.949749705779835,1.858759973591404,7.124307432492026,38.988832622631065,108.17010306883331,1.4182109980866404,0.47144875250780227,0.9964620340049588,0.44290090037771007,0,0,12.508405641200083,2.2292757455935472,7.7529245270617535,0,4.25181354781547,0.7411009828808631,9.31185952146842,0.8101972881675351,7.480261300651616,0,5.326174465367225,0.9273259594691231
7,Atlantic Maritime,New Brunswick,27,6.949061640959731,1.1132739315874103,9.916142169498027,1.853038443764499,7.107789116574034,38.95839092238753,108.17242220314412,1.3946312748374792,0.46788838960677875,0.9923024146839424,0.4446915861559085,0,0,12.403838174868664,2.2167314282816575,7.716013499556676,0,4.220372280601993,0.7383491516603986,9.361094204687232,0.8134350057315317,7.505899820117868,0,5.340880646060092,0.9287242231833693
