EcoBoundaryName,AdminBoundaryName,SPUID,DMID,Name,DMStructureID,DMRow,DMColumn,Proportion,Source,Sink
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,1,20,1,Softwood Merchantable,Softwood Stem Snag
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,2,13,0.52028,Softwood Foliage,Aboveground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,2,26,0.431748,Softwood Foliage,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,2,27,0.004797,Softwood Foliage,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,2,28,0.043175,Softwood Foliage,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,3,21,0.982252,Softwood Other,Softwood Branch Snag
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,3,26,0.015973,Softwood Other,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,3,27,0.000177,Softwood Other,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,3,28,0.001597,Softwood Other,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,4,4,1,Softwood Submerchantable,Softwood Submerchantable
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,5,15,0.5,Softwood Coarse Roots,Aboveground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,5,16,0.5,Softwood Coarse Roots,Belowground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,6,13,0.456028,Softwood Fine Roots,Aboveground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,6,14,0.5,Softwood Fine Roots,Belowground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,6,26,0.039575,Softwood Fine Roots,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,6,27,0.00044,Softwood Fine Roots,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,6,28,0.003957,Softwood Fine Roots,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,7,22,1,Hardwood Merchantable,Hardwood Stem Snag
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,8,13,0.010922,Hardwood Foliage,Aboveground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,8,26,0.89017,Hardwood Foliage,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,8,27,0.009891,Hardwood Foliage,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,8,28,0.089017,Hardwood Foliage,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,9,23,0.931995,Hardwood Other,Hardwood Branch Snag
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,9,26,0.061204,Hardwood Other,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,9,27,0.00068,Hardwood Other,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,9,28,0.00612,Hardwood Other,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,10,10,1,Hardwood Submerchantable,Hardwood Submerchantable
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,11,15,0.5,Hardwood Coarse roots,Aboveground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,11,16,0.5,Hardwood Coarse roots,Belowground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,12,13,0.466342,Hardwood Fine Roots,Aboveground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,12,14,0.5,Hardwood Fine Roots,Belowground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,12,26,0.030293,Hardwood Fine Roots,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,12,27,0.000337,Hardwood Fine Roots,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,12,28,0.003029,Hardwood Fine Roots,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,13,13,0.053267,Aboveground Very Fast DOM,Aboveground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,13,26,0.85206,Aboveground Very Fast DOM,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,13,27,0.009467,Aboveground Very Fast DOM,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,13,28,0.085206,Aboveground Very Fast DOM,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,14,14,1,Belowground Very Fast DOM,Belowground Very Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,15,15,0.531866,Aboveground Fast DOM,Aboveground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,15,26,0.421321,Aboveground Fast DOM,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,15,27,0.004681,Aboveground Fast DOM,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,15,28,0.042132,Aboveground Fast DOM,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,16,16,1,Belowground Fast DOM,Belowground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,17,17,0.88404,Medium DOM,Medium DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,17,26,0.104364,Medium DOM,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,17,27,0.00116,Medium DOM,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,17,28,0.010436,Medium DOM,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,18,18,0.866942,Aboveground Slow DOM,Aboveground Slow DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,18,26,0.119752,Aboveground Slow DOM,CO2
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,18,27,0.001331,Aboveground Slow DOM,CH4
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,18,28,0.011975,Aboveground Slow DOM,CO
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,19,19,1,Belowground Slow DOM,Belowground Slow DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,20,17,1,Softwood Stem Snag,Medium DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,21,15,1,Softwood Branch Snag,Aboveground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,22,17,1,Hardwood Stem Snag,Medium DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,23,15,1,Hardwood Branch Snag,Aboveground Fast DOM
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,24,24,1,Black Carbon,Black Carbon
Taiga Shield East,Labrador,3,407,Wildfire for Labrador - Taiga Shield East (NIR2011),2,25,24,1,Peat,Black Carbon
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,1,20,1,Softwood Merchantable,Softwood Stem Snag
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,2,13,0.43171,Softwood Foliage,Aboveground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,2,26,0.511461,Softwood Foliage,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,2,27,0.005683,Softwood Foliage,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,2,28,0.051146,Softwood Foliage,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,3,21,0.989837,Softwood Other,Softwood Branch Snag
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,3,26,0.009147,Softwood Other,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,3,27,0.000102,Softwood Other,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,3,28,0.000915,Softwood Other,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,4,4,1,Softwood Submerchantable,Softwood Submerchantable
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,5,15,0.5,Softwood Coarse Roots,Aboveground Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,5,16,0.5,Softwood Coarse Roots,Belowground Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,6,13,0.45805,Softwood Fine Roots,Aboveground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,6,14,0.5,Softwood Fine Roots,Belowground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,6,26,0.037755,Softwood Fine Roots,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,6,27,0.000419,Softwood Fine Roots,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,6,28,0.003775,Softwood Fine Roots,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,7,22,1,Hardwood Merchantable,Hardwood Stem Snag
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,8,13,0.012484,Hardwood Foliage,Aboveground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,8,26,0.888765,Hardwood Foliage,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,8,27,0.009875,Hardwood Foliage,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,8,28,0.088876,Hardwood Foliage,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,9,23,0.72448,Hardwood Other,Hardwood Branch Snag
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,9,26,0.247968,Hardwood Other,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,9,27,0.002755,Hardwood Other,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,9,28,0.024797,Hardwood Other,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,10,10,1,Hardwood Submerchantable,Hardwood Submerchantable
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,11,15,0.5,Hardwood Coarse roots,Aboveground Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,11,16,0.5,Hardwood Coarse roots,Belowground Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,12,13,0.457288,Hardwood Fine Roots,Aboveground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,12,14,0.5,Hardwood Fine Roots,Belowground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,12,26,0.03844,Hardwood Fine Roots,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,12,27,0.000427,Hardwood Fine Roots,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,12,28,0.003844,Hardwood Fine Roots,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,13,13,0.019351,Aboveground Very Fast DOM,Aboveground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,13,26,0.882584,Aboveground Very Fast DOM,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,13,27,0.009806,Aboveground Very Fast DOM,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,13,28,0.088258,Aboveground Very Fast DOM,CO
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,14,14,1,Belowground Very Fast DOM,Belowground Very Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,15,15,0.548544,Aboveground Fast DOM,Aboveground Fast DOM
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,15,26,0.40631,Aboveground Fast DOM,CO2
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,15,27,0.004515,Aboveground Fast DOM,CH4
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,15,28,0.040631,Aboveground Fast DOM,CO
