Ecozone,FluxID,Source,Sink,ProcessSynonym,Phase,CORefFluxID,Pseudocode,Notes,SeverityClass,Value,InterimValue,SourceSurfaceCanopy
,40,Hardwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO,,Low,,TRUE,Canopy
,40,Hardwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO,,Mod,,TRUE,Canopy
,40,Hardwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",,,(hardwood other)-(hardwood other:other)-(hardwood other:hardwood other snag)*FlamingCO,,High,,TRUE,Canopy
,46,Hardwood Coarse roots,Hardwood Coarse roots,Surviving deciduous coarse roots,,,1-deciduous mortality rate,,Low,,TRUE,Surface
,46,Hardwood Coarse roots,Hardwood Coarse roots,Surviving deciduous coarse roots,,,1-deciduous mortality rate,,Mod,,TRUE,Surface
,46,Hardwood Coarse roots,Hardwood Coarse roots,Surviving deciduous coarse roots,,,1-deciduous mortality rate,,High,,TRUE,Surface
,47,Hardwood Coarse roots,Aboveground Fast DOM,Deciduous coarse roots in the duff that are killed but unconsumed,,,(deciduous mortality rate)*(deciduous coarse root fraction in organic soil),,Low,,TRUE,Surface
,47,Hardwood Coarse roots,Aboveground Fast DOM,Deciduous coarse roots in the duff that are killed but unconsumed,,,(deciduous mortality rate)*(deciduous coarse root fraction in organic soil),,Mod,,TRUE,Surface
,47,Hardwood Coarse roots,Aboveground Fast DOM,Deciduous coarse roots in the duff that are killed but unconsumed,,,(deciduous mortality rate)*(deciduous coarse root fraction in organic soil),,High,,TRUE,Surface
,48,Hardwood Coarse roots,Belowground Fast DOM,Deciduous coarse roots in the mineral soil that are killed but unconsumed,,,(deciduous mortality rate)*(deciduous coarse root fraction in mineral soil),,Low,,TRUE,Surface
,48,Hardwood Coarse roots,Belowground Fast DOM,Deciduous coarse roots in the mineral soil that are killed but unconsumed,,,(deciduous mortality rate)*(deciduous coarse root fraction in mineral soil),,Mod,,TRUE,Surface
,48,Hardwood Coarse roots,Belowground Fast DOM,Deciduous coarse roots in the mineral soil that are killed but unconsumed,,,(deciduous mortality rate)*(deciduous coarse root fraction in mineral soil),,High,,TRUE,Surface
,49,Hardwood Fine Roots,Hardwood Fine Roots,Surviving fine roots,,,1-conifer mortality rate,,Low,,TRUE,Surface
,49,Hardwood Fine Roots,Hardwood Fine Roots,Surviving fine roots,,,1-conifer mortality rate,,Mod,,TRUE,Surface
,49,Hardwood Fine Roots,Hardwood Fine Roots,Surviving fine roots,,,1-conifer mortality rate,,High,,TRUE,Surface
,50,Hardwood Fine Roots,Aboveground Very Fast DOM,Fine roots killed but not burned in organic soil,,,(conifer mortality rate)*(coarse root fraction in organic soil),,Low,,TRUE,Surface
,50,Hardwood Fine Roots,Aboveground Very Fast DOM,Fine roots killed but not burned in organic soil,,,(conifer mortality rate)*(coarse root fraction in organic soil),,Mod,,TRUE,Surface
,50,Hardwood Fine Roots,Aboveground Very Fast DOM,Fine roots killed but not burned in organic soil,,,(conifer mortality rate)*(coarse root fraction in organic soil),,High,,TRUE,Surface
,51,Hardwood Fine Roots,Belowground Very Fast DOM,Fine roots killed but not burned in mineral soil,,,(conifer mortality rate)*(coarse root fraction in mineral soil),,Low,,TRUE,Surface
,51,Hardwood Fine Roots,Belowground Very Fast DOM,Fine roots killed but not burned in mineral soil,,,(conifer mortality rate)*(coarse root fraction in mineral soil),,Mod,,TRUE,Surface
,51,Hardwood Fine Roots,Belowground Very Fast DOM,Fine roots killed but not burned in mineral soil,,,(conifer mortality rate)*(coarse root fraction in mineral soil),,High,,TRUE,Surface
,52,Hardwood Fine Roots,CO2,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO2,,Low,,TRUE,Surface
,52,Hardwood Fine Roots,CO2,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO2,,Mod,,TRUE,Surface
,52,Hardwood Fine Roots,CO2,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO2,,High,,TRUE,Surface
,53,Hardwood Fine Roots,CH4,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCH4,,Low,,TRUE,Surface
,53,Hardwood Fine Roots,CH4,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCH4,,Mod,,TRUE,Surface
,53,Hardwood Fine Roots,CH4,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCH4,,High,,TRUE,Surface
,54,Hardwood Fine Roots,CO,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO,,Low,,TRUE,Surface
,54,Hardwood Fine Roots,CO,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO,,Mod,,TRUE,Surface
,54,Hardwood Fine Roots,CO,Fine roots combusted alongside duff,,,(fraction of duff consumed)*(coarse root fraction in organic soil)*FlamingCO,,High,,TRUE,Surface
,55,Aboveground Very Fast DOM,Aboveground Very Fast DOM,"Unburned fraction of The L horizonb comprised of foliar litter plus dead fine roots, approximately <5 mm diameter",,,0,all litter burns,Low,,TRUE,Surface
,55,Aboveground Very Fast DOM,Aboveground Very Fast DOM,"Unburned fraction of The L horizonb comprised of foliar litter plus dead fine roots, approximately <5 mm diameter",,,0,all litter burns,Mod,,TRUE,Surface
,55,Aboveground Very Fast DOM,Aboveground Very Fast DOM,"Unburned fraction of The L horizonb comprised of foliar litter plus dead fine roots, approximately <5 mm diameter",,,0,all litter burns,High,,TRUE,Surface
,56,Aboveground Very Fast DOM,CO2,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCO2,,Low,,TRUE,Surface
,56,Aboveground Very Fast DOM,CO2,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCO2,,Mod,,TRUE,Surface
,56,Aboveground Very Fast DOM,CO2,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCO2,,High,,TRUE,Surface
,57,Aboveground Very Fast DOM,CH4,Combusted fraction of litter layer,,,(Aboveground Very Fast DOM)*FlamingCH4,,Low,,TRUE,Surface
