SPUID,EcoBoundaryName,EcoBoundaryNameShort,AdminBoundaryName,TimeStep,Aboveground Very Fast DOM,Belowground Very Fast DOM,Aboveground Fast DOM,Belowground Fast DOM,Medium DOM,Aboveground Slow DOM,Belowground Slow DOM,Softwood Stem Snag,Softwood Branch Snag,Hardwood Stem Snag,Hardwood Branch Snag,Black Carbon,Peat,Softwood Merchantable,Softwood Foliage,Softwood Other,Softwood Submerchantable,Softwood Coarse Roots,Softwood Fine Roots,Hardwood Merchantable,Hardwood Foliage,Hardwood Other,Hardwood Submerchantable,Hardwood Coarse Roots,Hardwood Fine Roots
46,Boreal Cordillera,BC,Yukon Territory,27,11.88166074,2.5758696352702155,16.097729497923893,2.7743093972054798,21.265518104589287,34.80293796989456,99.56097992968975,5.962041887396739,1.7145775676492578,1.1168509116506828,0.2747473970648441,0,0,26.68020103959529,3.920368808987493,15.729060603049634,0,8.959090133,1.3260878268909186,3.928730279022659,0.20697603563727426,2.5291121546673065,0,2.932468738877135,0.4326508781192179
46,Boreal Cordillera,BC,Yukon Territory,28,11.92363343995143,2.5751072360741443,16.09587094339165,2.752771099710426,21.21247011665245,34.87044834796826,99.56440190554375,5.867321847419593,1.6684132523402302,1.1062519908809814,0.2697019136889964,0,0,26.830463226627664,3.9372807759689015,15.799810009114912,0,9.005733559124248,1.3322634299173048,3.941065240916843,0.20711021769709997,2.5320599416240177,0,2.9384090620916377,0.43289141680176846
46,Boreal Cordillera,BC,Yukon Territory,29,11.904944023090273,2.5774310850125706,16.091767366354343,2.761306649317158,21.164843860766833,34.88284591750432,99.56805885917781,5.888470549043082,1.6841953224406245,1.1245827806441515,0.27506945957423423,0,0,26.84914856209347,3.935614474098567,15.796524181153432,0,9.008899065823313,1.3321466965780844,3.918446852562103,0.2058595695768042,2.5167079228172233,0,2.9260447908610367,0.4308737830522182
46,Boreal Cordillera,BC,Yukon Territory,30,11.771882227485754,2.581484588047998,16.078534382732485,2.8225785055258132,21.161450268308208,34.76754347614094,99.57174555900787,6.078274734681818,1.8041728894366222,1.168588530389139,0.2949517342449995,0,0,26.62675217416175,3.8934170808083928,15.645366651631315,0,8.929477527899364,1.3192714423352199,3.852047150724201,0.20224755881948314,2.4737899175440834,0,2.881364427464232,0.4243470715152508
46,Boreal Cordillera,BC,Yukon Territory,31,11.823209385256478,2.575564046,16.085869019886957,2.792133631103414,21.104618699248142,34.849185678840364,99.57541384200896,5.966145454628217,1.734767022744854,1.1523620340156788,0.2851921742478219,0,0,26.79894516614392,3.9156472406744913,15.735626227301594,0,8.984561816,1.3273867204106908,3.8676932803398762,0.20274875895258201,2.4812285329976262,0,2.890781749453792,0.4255664622733897
46,Boreal Cordillera,BC,Yukon Territory,32,11.789454196783934,2.575129886584287,16.085353827036418,2.8053644093110566,21.06807750658023,34.84149094805384,99.57912492422544,6.010169979468933,1.761408593347412,1.1600800470371877,0.28755445832349463,0,0,26.77615492897246,3.9076149367186797,15.708723123495398,0,8.973385806709693,1.325747634478474,3.8529000427445927,0.20151784190852123,2.4682679749194887,0,2.876605245917263,0.4231176602939652
46,Boreal Cordillera,BC,Yukon Territory,33,11.68392547530054,2.575170640334162,16.079281960084494,2.8491256917462073,21.064239233561093,34.76423250621801,99.58275467630705,6.156340542097399,1.8380544472408757,1.1956555766042787,0.3030390871306252,0,0,26.613013326371227,3.8835202269892517,15.608140897906598,0,8.917227209375932,1.3180105174832837,3.7923409427547528,0.19819106722652635,2.429222840622238,0,2.839042488,0.4177662590834309
46,Boreal Cordillera,BC,Yukon Territory,34,11.67016600523732,2.569896849327154,16.083019327866257,2.849664163875758,21.03612628542446,34.773002578569454,99.58618676197962,6.156664417634092,1.8316829685436613,1.1950895452910506,0.30009147044610546,0,0,26.624747234721823,3.884772749544638,15.607026450923692,0,8.918979255562267,1.3188940507688507,3.7798772498921958,0.1973117464338667,2.4193909533157774,0,2.828819377,0.41598030922868684
47,Pacific Maritime,PM,Yukon Territory,0,22.07375573494396,3.821418201,22.643773904241993,4.123406038180415,34.363676337600495,42.55432537147503,124.70826661578157,8.832896385222305,1.9253109107049524,1.460479702654045,0.3164071250197042,0,0,24.420714659056028,4.1983398737275275,15.580737225490116,0,8.484639062,1.327711083271801,3.704823575286436,0.22471024532700593,2.6887532874814366,0,3.1264964781429154,0.4889656774493293
47,Pacific Maritime,PM,Yukon Territory,1,22.206793990027627,3.8194726755328423,22.654078136278034,4.0831929844938735,34.34744426837464,42.66424132810102,124.68119519135838,8.654044950345549,1.8529489849252903,1.4489185534252031,0.3105788456273386,0,0,24.620444193706287,4.224133639750111,15.67363709523533,0,8.547659147287465,1.3353811819169854,3.7195871669999088,0.22532418507794544,2.6966971700696076,0,3.140422125061187,0.49077016252810435
