ECOZONE,year,DC05,DC25,DC50,DC75,DC95,nFire,Ecozone,Median.Forest.Floor.Load.kg.m2
15,2018,42.47320175,117.7327118,139.8591614,169.0304718,185.7575378,10,hudson plains,7.65
14,2002,59.54934692,59.61351395,155.9789886,188.1681061,188.1681061,2,montane cordillera,5.75
14,2003,16.72410011,284.4694214,402.7414856,507.5863342,656.5213623,36,montane cordillera,5.75
14,2004,110.2737656,183.2753601,215.67453,260.6138,356.0700378,11,montane cordillera,5.75
14,2005,0,0,0,183.5906677,392.4849548,4,montane cordillera,5.75
14,2006,95.36181641,166.1260223,200.5637817,264.5638428,483.2178955,14,montane cordillera,5.75
14,2007,161.650177,216.3508606,287.7384338,551.50354,604.8630371,4,montane cordillera,5.75
14,2008,22.96365738,27.2198925,33.2825737,33.2825737,33.2825737,1,montane cordillera,5.75
14,2009,39.01259995,254.0766449,409.4254761,504.181366,624.9335327,26,montane cordillera,5.75
14,2010,0,0,177.494751,503.8747253,571.0701904,23,montane cordillera,5.75
14,2012,202.4102325,226.2323914,271.7709351,446.3074036,460.5710449,3,montane cordillera,5.75
14,2013,389.9381104,401.28479,436.0071716,439.9617004,439.9617004,1,montane cordillera,5.75
14,2014,0,60.14669418,201.0636597,298.0298157,486.6643677,18,montane cordillera,5.75
14,2015,64.35006714,289.2611084,424.582489,534.7617798,662.2293701,11,montane cordillera,5.75
14,2017,0,178.2889099,395.7436523,495.2236328,596.02948,39,montane cordillera,5.75
14,2018,200.3852997,389.6159363,456.8055115,505.182373,586.1459351,60,montane cordillera,5.75
14,2019,487.0887146,567.9193115,576.6230469,576.6230469,585.2761841,1,montane cordillera,5.75
14,2020,259.7729492,285.8001404,333.2428284,402.5086975,533.0673218,5,montane cordillera,5.75
13,2004,170.8981705,216.724762,230.8430939,251.202652,257.7972412,1,pacific maritime,14.95
13,2009,163.93367,191.3562927,293.0227966,308.384552,316.0097961,2,pacific maritime,14.95
13,2010,277.0161438,277.0161438,298.708374,336.5912476,388.1895447,1,pacific maritime,14.95
13,2012,172.9268951,194.3536682,206.3040009,215.4429321,229.6038361,1,pacific maritime,14.95
13,2015,117.4778442,198.5152435,225.2164459,247.5001068,471.2617493,5,pacific maritime,14.95
13,2018,177.451355,274.799408,332.1304321,364.7759094,445.7164307,8,pacific maritime,14.95
10,2003,0,0,0,19.66196251,19.91720772,1,prairies,9.55
10,2004,0,0,0,0,0,1,prairies,9.55
10,2015,303.6246033,303.6246033,303.6246033,306.3415527,317.4923096,1,prairies,9.55
3,2003,160.397995,160.5558929,167.0588684,167.6462708,174.1472778,1,southern arctic,1.45
3,2012,221.5212555,271.9072571,310.0529785,359.1018066,396.5088196,2,southern arctic,1.45
3,2014,211.098999,230.3066406,246.4208374,286.537323,297.573761,2,southern arctic,1.45
11,2002,0,21.59733582,26.96146202,50.06309509,64.80400085,2,taiga cordillera,8.06
11,2003,115.124855,134.86586,153.0771942,162.6930237,166.6879578,3,taiga cordillera,8.06
11,2004,115.1443329,227.3001709,279.2990417,325.7457275,397.0253296,27,taiga cordillera,8.06
11,2005,138.6705017,163.7556915,204.9625549,335.328949,408.6993103,4,taiga cordillera,8.06
11,2007,164.4556885,182.533432,203.4072266,211.6164093,320.6668396,5,taiga cordillera,8.06
11,2008,146.3752289,159.3206787,166.5215607,172.0363617,172.8330841,1,taiga cordillera,8.06
11,2009,256.9676819,260.0965576,267.0388489,267.0388489,272.1880188,3,taiga cordillera,8.06
11,2010,64.15562439,78.22957611,94.65890503,109.9379349,127.8710556,5,taiga cordillera,8.06
11,2011,54.81145859,59.35930634,64.9095459,71.27228546,81.06117249,1,taiga cordillera,8.06
11,2012,16.06560898,50.67090988,154.1737213,178.4255524,187.8957825,5,taiga cordillera,8.06
11,2015,20.9199791,33.68750763,55.62112427,80.02944946,156.6987762,8,taiga cordillera,8.06
11,2017,159.4546051,199.4605255,260.4159241,290.6170044,333.6425781,20,taiga cordillera,8.06
11,2018,30.16067123,73.73607635,80.74766541,97.32429504,130.7993011,2,taiga cordillera,8.06
11,2019,103.0730896,127.0123749,206.1596832,301.2609863,354.781189,4,taiga cordillera,8.06
11,2020,75.89408112,86.74943542,95.28727722,97.25170135,203.808136,3,taiga cordillera,8.06
4,2002,141.8796387,141.8796387,154.4274292,154.4274292,154.4274292,1,taiga plains,14.75
4,2003,143.6120911,239.617218,299.2505188,338.170105,386.257843,16,taiga plains,14.75
4,2004,191.1943512,280.8092041,372.9653015,419.110321,488.6149902,37,taiga plains,14.75
4,2005,97.43245697,239.1611176,323.5057068,359.0237885,407.736145,27,taiga plains,14.75
4,2006,164.4815674,221.0257874,270.8862915,331.4704285,415.8881226,10,taiga plains,14.75
4,2007,90.18821716,184.3205109,232.3508148,381.4560852,461.4084778,10,taiga plains,14.75
4,2008,93.11081696,232.9912872,351.65802,403.8733215,460.2373047,18,taiga plains,14.75
4,2009,146.3384094,150.1424866,162.7301025,176.4278259,199.4360199,3,taiga plains,14.75
4,2010,101.7776184,102.7792435,178.1506042,184.7733612,222.1343536,4,taiga plains,14.75
4,2011,202.0929871,285.8536987,319.4732056,354.1557922,424.6855164,9,taiga plains,14.75
4,2012,191.2318718,283.6346741,350.6264648,431.5136719,530.7194214,53,taiga plains,14.75
4,2013,139.7944489,235.1528168,331.9676819,459.9519958,547.9141235,30,taiga plains,14.75
4,2014,166.0263824,398.1322021,525.3637085,613.8178101,703.7165527,51,taiga plains,14.75
4,2015,100.6821136,207.8431854,344.7313232,438.590332,493.1629639,74,taiga plains,14.75
4,2016,151.1115417,183.8659821,220.2350159,276.0444031,339.9271851,23,taiga plains,14.75
4,2017,179.3090057,250.2375946,300.095459,384.1752014,445.2277832,31,taiga plains,14.75
4,2018,66.09494781,124.4120331,221.8937073,387.1286011,509.2822266,18,taiga plains,14.75
4,2019,131.1091309,291.7710571,327.2636719,357.8192139,421.1887207,15,taiga plains,14.75
4,2020,202.9542694,218.2337799,249.9832306,257.1610718,282.238739,3,taiga plains,14.75
25,2002,67.02388763,95.11433411,128.7366486,152.6442871,187.442749,30,taiga shield east,1.45
25,2003,72.91979218,133.1750946,196.0383606,233.8989868,258.2935181,11,taiga shield east,1.45
25,2005,56.50878143,71.04830933,85.91387939,103.1287766,144.3421631,23,taiga shield east,1.45
25,2006,83.91825867,95.9013443,136.6757965,143.0209961,176.559967,2,taiga shield east,1.45
25,2007,46.34918213,65.53365326,73.94315338,89.22060394,127.1394882,12,taiga shield east,1.45
25,2009,67.50990295,84.44491577,105.380127,125.900322,156.7710876,8,taiga shield east,1.45
25,2010,94.77688599,96.20571136,111.7321625,118.4845428,141.643631,1,taiga shield east,1.45
25,2011,60.71617508,68.4077301,79.08642578,92.86273193,239.5595856,4,taiga shield east,1.45
25,2012,36.17547989,44.97186661,50.70202255,81.82338715,205.5598297,13,taiga shield east,1.45
25,2013,47.24786377,59.96527863,115.7303848,156.8486328,196.41362,24,taiga shield east,1.45
25,2014,48.01721573,61.52586746,89.72202301,151.8410645,159.5838318,6,taiga shield east,1.45
25,2015,67.86894226,68.01740265,78.56295013,89.2374115,99.00718689,2,taiga shield east,1.45
25,2016,47.70217896,70.75357819,90.62834167,131.1773376,214.5782776,7,taiga shield east,1.45
25,2017,66.03991699,67.765625,68.65232849,79.74094391,110.7988586,5,taiga shield east,1.45
25,2018,85.58309174,100.7055588,124.6232681,133.4501801,143.5882263,8,taiga shield east,1.45
25,2020,12.04071045,36.82965851,56.68226624,74.27252197,87.60894775,3,taiga shield east,1.45
5,2002,142.9518585,162.9854584,185.6281128,210.9506226,263.8121643,8,taiga shield west,1.45
5,2003,192.1516418,256.1737671,278.4142151,305.3041992,353.471283,14,taiga shield west,1.45
5,2004,184.7714691,235.6075592,282.5548096,359.3912964,455.4203796,45,taiga shield west,1.45
5,2005,142.289032,152.8833008,168.7656555,268.9115295,365.2194824,6,taiga shield west,1.45
5,2006,98.2674942,222.8312073,259.7779846,282.5552673,349.9824524,7,taiga shield west,1.45
5,2007,75.61839294,134.171875,200.4025879,239.6448059,297.6615906,27,taiga shield west,1.45
5,2008,118.2549362,212.4709167,288.894104,352.6003723,426.942688,43,taiga shield west,1.45
5,2010,88.37467194,143.515976,230.0178223,324.5437622,405.7653809,43,taiga shield west,1.45
5,2011,151.6682129,251.099884,283.0888977,344.7141418,391.650177,18,taiga shield west,1.45
5,2012,69.84805298,171.7561188,227.7817535,319.8021545,380.6882324,17,taiga shield west,1.45
5,2013,102.4335022,192.986908,256.0426025,324.7572327,400.6175842,64,taiga shield west,1.45
5,2014,141.6857147,248.3085327,372.080658,474.1079712,623.9066772,65,taiga shield west,1.45
5,2015,193.482193,295.3605652,376.816803,412.2538452,551.9780273,17,taiga shield west,1.45
5,2016,130.0359802,200.1638794,252.6892242,418.2457275,491.9248657,21,taiga shield west,1.45
5,2017,232.501358,342.3962402,431.9917297,467.2819519,510.3748474,61,taiga shield west,1.45
5,2018,93.49619293,122.3812256,162.0599823,205.8516235,299.6552734,13,taiga shield west,1.45
5,2019,186.6735687,207.8930206,246.8311768,301.9257813,352.3583069,19,taiga shield west,1.45
5,2020,58.03953934,120.1166077,181.9962006,264.953186,305.4271851,6,taiga shield west,1.45
