"","ID","Area_ha","EcoBoundaryName_select","AdminBoundaryName_select","Low_frac","Mod_frac","High_frac","Median_BUI","MCE","CH4_MgC","CO_MgC","CO2_MgC","NMOG_MgC","PM10_MgC","PM25_MgC","SumC_direct_emissions","ER_CO_CO2","ER_CH4_CO2","Prop_surface","CO2e_Mg","X","Y","unit_id","MgC_perha"
"104","506",7502.61229623,"Boreal Shield East","Quebec",0.008,0.708,0.155,38.982,0.908,1911.922,24348.221,152818.278,5362.529,7359.396,6191.981,197992.327,0.159,0.013,0.785,695769.934,-75.3052433753292,47.9810648731653,15,26.3897852084786
"105","501",1550.52312924,"Boreal Shield East","Quebec",0.021,0.56,0.134,32.53,0.909,312.487,3986.438,25226.866,878.276,1205.344,1014.386,32623.798,0.158,0.012,0.785,114653.152,-75.0378570911478,47.9598167594973,15,21.040510383093
"106","507",339.362499842,"Boreal Shield East","Quebec",0.04,0.507,0.328,37.805,0.908,86.84,1106.246,6953.469,243.656,334.388,281.356,9005.955,0.159,0.012,0.785,31648.532,-75.3072480329866,48.1236111413957,15,26.5378614437157
"107","510",1421.77612546,"Boreal Shield East","Quebec",0.08,0.404,0.354,50.53,0.906,371.475,4714.385,28999.451,1037.487,1423.76,1197.217,37743.775,0.163,0.013,0.785,132601.33,-76.11168755045,48.3084542725048,15,26.5469185507588
"108","495",714.619745072,"Boreal Shield East","Quebec",0.036,0.427,0.188,64.426,0.905,155.444,1966.524,11901.265,432.497,593.503,498.839,15548.073,0.165,0.013,0.785,54613.865,-73.4107622307818,49.7523335084336,15,21.7571276293709
"109","490",936.104901472,"Boreal Shield East","Quebec",0.04,0.44,0.346,39.792,0.908,228.772,2912.748,18261.041,641.48,880.348,740.672,23665.06,0.16,0.013,0.785,83161.062,-72.5984764003022,49.6829764390212,15,25.2803504850656
"110","489",1203.31406621,"Boreal Shield East","Quebec",0.038,0.275,0.555,39.945,0.908,313.007,3986.323,25071.046,878.017,1204.972,1013.876,32467.24,0.159,0.012,0.785,114100.487,-72.6450892658286,49.7098843583529,15,26.9815178860661
"111","541",52677.8232993,"Boreal Shield East","Quebec",0.033,0.461,0.354,68.334,0.905,15306.358,193534.864,1169288.667,42560.995,58405.011,49086.716,1528182.611,0.166,0.013,0.785,5367887.34,-73.4788562933352,50.1137886665746,15,29.0099802020542
"112","340",180315.682872,"Boreal Shield East","Quebec",0.044,0.497,0.343,73.763,0.904,55827.698,705048.769,4229499.168,155008.174,212709.445,178737.284,5536830.539,0.167,0.013,0.785,19446825.436,-74.5201097125164,50.5048151059785,15,30.7063171145818
"113","540",17369.1867758,"Boreal Shield East","Quebec",0.052,0.554,0.284,53.946,0.906,4907.895,62241.174,381683.998,13695.665,18794.672,15802.761,497126.165,0.163,0.013,0.785,1746464.291,-73.0906697539857,50.583755511418,15,28.621153737182
"114","491",2288.70945763,"Boreal Shield East","Quebec",0.358,0.267,0.243,51.559,0.904,595.415,7534.662,44981.361,1656.31,2272.85,1909.665,58950.262,0.168,0.013,0.785,206977.802,-72.2291664928566,50.3918785409187,15,25.7569879844181
"115","539",12348.9731068,"Boreal Shield East","Quebec",0.45,0.194,0.268,53.143,0.903,3369.468,42595.817,252041.25,9360.592,12844.732,10789.667,331001.525,0.169,0.013,0.785,1161972.85,-72.8842983134396,50.6845894340892,15,26.8039716450377
"116","493",13434.8511848,"Boreal Shield East","Quebec",0.475,0.17,0.172,54.756,0.902,3256.686,41119.192,240543.078,9032.393,12394.104,10408.015,316753.468,0.171,0.014,0.785,1111712.149,-72.5703811966188,50.7327611388774,15,23.5769986316164
"117","546",25158.4082092,"Boreal Shield East","Quebec",0.324,0.136,0.487,68.852,0.903,7927.275,100021.047,591083.216,21978.281,30158.77,25332.131,776500.721,0.169,0.013,0.785,2726311.97,-73.9884252770479,51.2259680287246,15,30.8644614771791
"118","499",14097.3320306,"Boreal Shield East","Quebec",0.073,0.367,0.465,54.619,0.906,4093.106,51904.642,318309.205,11421.142,15673.321,13178.251,414579.667,0.163,0.013,0.785,1456480.477,-73.2205076600897,51.0602325206402,15,29.4083778476738
"119","496",5502.91687662,"Boreal Shield East","Quebec",0.378,0.188,0.322,54.062,0.903,1486.698,18802.442,111928.806,4132.797,5671.144,4764.551,146786.439,0.168,0.013,0.785,515361.544,-72.7314154839658,51.1676777758722,15,26.6742969757812
"120","2056",178.030174224,"Boreal Shield East","Quebec",0.654,0.061,0.018,58.544,0.898,37.543,472.194,2658.183,103.584,142.127,119.234,3532.866,0.178,0.014,0.785,12389.847,-72.4515870996869,51.2346677766014,15,19.8441978467925
"121","504",46704.0145612,"Boreal Shield East","Quebec",0.652,0.131,0.13,57.124,0.9,12550.774,158186.576,910237.926,34727.496,47651.04,39998.071,1203351.882,0.174,0.014,0.785,4222073.999,-73.2556393727051,51.8152551666655,15,25.7654913245874
"122","599",388.241340959,"Boreal Shield East","Quebec",0.055,0.634,0.007,,0.936,24.553,343.132,3200.801,77.2,106.065,90.608,3842.359,0.107,0.008,0.759,13558.479,-71.6907566023172,51.6583532537213,15,9.89683115793114
"123","600",337.427744884,"Boreal Shield East","Quebec",0.151,0.277,0.143,43.508,0.906,56.284,714.522,4364.842,157.206,215.733,181.375,5689.962,0.164,0.013,0.785,19985.225,-71.8216136043508,49.2711526116746,15,16.8627568013297
"124","479",558.914416465,"Boreal Shield East","Quebec",0.091,0.459,0.086,39.636,0.907,102.691,1306.083,8092.539,287.515,394.568,331.859,10515.254,0.161,0.013,0.785,36942.348,-71.5908258199402,49.6014217146935,15,18.8137104541094
"125","477",4446.082872,"Boreal Shield East","Quebec",0.083,0.522,0.213,41.006,0.907,1068.807,13595.231,84520.959,2993.151,4107.643,3455.122,109740.914,0.161,0.013,0.785,385578.079,-71.5579055767643,49.3820996796837,15,24.6826065009073
"126","478",1678.56876891,"Boreal Shield East","Quebec",0.097,0.669,0.118,36.766,0.907,423.091,5386.971,33616.494,1186.19,1627.878,1369.436,43610.058,0.16,0.013,0.785,153228,-70.7217465906083,50.7249714120287,15,25.9805012506689
