Site,Plot_R,FireType,Depth,FuelType,DOB,Load,FFFC,AveBD,FFMC,DMC,DC,Model,ISI,BUI,FWI,Frac_load_consump,Frac_load_consump_max1,Frac_depth_consump
Green Lk,02-Jan,Wild,8.261110995,D2,5.4,3.8,4.22,46.00427431,91.3355,42.195,377.446,1.89623,24.4023,65.9078,45.6815,1.111,1,0.654
Dawson City,26-Jan,Wild,5.225,D2,3.8,3.14,1.29,60.12054623,82.776,69.2626,377.858,1.89829,2.6143,90.8917,11.0335,0.409,0.409,0.732
Green Lk,02-Jun,Wild,8.48499999,D2,4.9,4.19,3.35,49.33492597,91.3437,42.2549,378.141,1.899705,24.5591,66.0073,45.8974,0.799,0.799,0.579
Dawson City,16-Jan,Wild,8.814999986,C2,6.1,5.31,4.56,60.25690059,86.9176,70.9853,383.521,1.926605,3.354,92.0358,13.6558,0.858,0.858,0.696
Green Lk,01-May,Wild,3.079999989,C3,2.2,1.21,0.89,39.17582128,89.165,44.745,384.605,1.932025,7.5794,36.2703,21.512,0.739,0.739,0.721
Green Lk,02-Apr,Wild,8.579999995,D2,6.7,4.48,5.4,52.16729846,89.1732,44.7938,385.154,1.93477,7.6013,69.3514,21.5697,1.206,1,0.776
Dawson City,01-Sep,Wild,9.160000062,C2,5.9,8.35,5.19,91.12260639,87.0141,72.8972,388.744,1.95272,3.4966,93.4757,14.1771,0.621,0.621,0.644
WBNP,16-Jan,Wild,5.955000055,C3,3.9,2.7,0.82,45.29300638,88.2693,81.1007,397.957,1.998785,6.3234,104.992,22.7384,0.304,0.304,0.65
WBNP,17-Jan,Wild,7.334999967,C3,5.1,2.61,1.38,35.61824452,88.2673,81.1155,398.034,1.99917,6.3205,105.011,22.7324,0.529,0.529,0.698
WBNP,01-Dec,Wild,5.460000014,C3,3.7,3.25,2.41,59.50953791,88.2654,81.1265,398.087,1.999435,6.3181,105.025,22.727,0.742,0.742,0.67
WBNP,01-Jun,Wild,10.82999997,C3,7,4.52,2.71,41.76091073,88.2987,44.2514,460.526,2.31163,6.3243,70.4004,18.4496,0.599,0.599,0.648
