Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median,unit_id
54.7208333313497,-101.483611114394,"553",2023,1165,Agency,Aerial survey,Buffered points,Natural,,,2023/09/17,,2023/09/21,0.19902041588,0.26641349429,true,MB,,,"20240530",2023_1165,,,"22"
54.7788888853801,-100.96388888848,"554",2023,1139,Agency,Aerial survey,Buffered points,Natural,,,2023/06/21,,2023/06/24,0.49766867911,0.64304282437,true,MB,,,"20240530",2023_1139,,,"22"
54.7505555590285,-101.521388890875,"555",2023,1137,Agency,Aerial survey,Buffered points,Human,,,2023/06/17,,2023/06/18,0.0995083877,0.13681516081,true,MB,,,"20240530",2023_1137,,,"22"
54.8161111158823,-101.463888884104,"556",2023,1136,Agency,Aerial survey,Buffered points,Human,,,2023/06/17,,2023/06/18,0.09951148586,0.13681925614,true,MB,,,"20240530",2023_1136,,,"22"
54.9380555517231,-101.159444438551,"557",2023,1160,Agency,Aerial survey,Buffered points,Natural,,,2023/08/20,,2023/08/25,3.18483074989,3.83071405858,true,MB,,,"20240530",2023_1160,,,"22"
54.9385591739072,-101.152952152504,"558",2023,466,MAFiMS,Sentinel-2,Processed imagery,Undetermined,,,,,2023/09/05,4.13350836471,4.13350836471,,MB,,,"20240530",2023_466,,,"22"
54.9716017252509,-101.107097271246,"559",2023,456,MAFiMS,Sentinel-2,Processed imagery,Human,,,2023/06/24,,2023/07/25,39.3253216515,39.3253216515,,MB,,,"20240530",2023_456,250.072998,70.440002,"22"
55.0073277227605,-101.185290479982,"560",2023,1040,Agency,Aerial survey,Direct from GPS,Natural,,,2023/07/01,,2023/07/03,0.01087499158,0.01628551662,true,MB,,,"20240530",2023_1040,,,"22"
55.1274999963319,-101.140833325768,"561",2023,1147,Agency,Aerial survey,Buffered points,Human,,,2023/07/17,,2023/07/19,0.19905439302,0.26645722176,true,MB,,,"20240530",2023_1147,,,"22"
55.1772769170546,-101.795865340973,"562",2023,462,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/07/19,,2023/08/08,2.1668184807,2.1668184807,,MB,,,"20240530",2023_462,,,"22"
55.2180555536711,-101.861944440158,"563",2023,1148,Agency,Aerial survey,Buffered points,Natural,,,2023/07/19,,2023/07/23,0.09949176363,0.13679318608,true,MB,,,"20240530",2023_1148,,,"22"
55.3067711919938,-101.218648118084,"564",2023,1039,Agency,Aerial survey,Direct from GPS,Natural,,,2023/06/13,,2023/06/15,0.00629425036,0.00962676329,true,MB,,,"20240530",2023_1039,,,"22"
