"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"80","MC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"81","HP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"82","TC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"83","PM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"84","AM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Low","0","TRUE","Canopy"
"85","BSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"86","TP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"87","TSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"88","BP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"89","BC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"90","BSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"91","TSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"92","MC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"93","HP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"94","TC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"95","PM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"96","AM","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","Mod","0","TRUE","Canopy"
"97","BSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"98","TP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"99","TSW","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"100","BP","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"101","BC","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"102","BSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
"103","TSE","3","Softwood Merchantable","Black Carbon","Live conifer to BC rate","","NA","0","live stemwood to BC should be precisely 0","High","0","TRUE","Canopy"
